species,island,culmen_length_mm,culmen_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie,Torgersen,47,19,201,2899,MALE
Chinstrap,Torgersen,57,20,195,2954,MALE
Adelie,Biscoe,58,19,226,4814,MALE
Chinstrap,Dream,44,16,179,5280,FEMALE
Gentoo,Dream,55,15,210,6163,MALE
Chinstrap,Dream,36,19,184,4137,FEMALE
Adelie,Biscoe,51,20,202,3306,MALE
Adelie,Biscoe,42,14,222,4012,FEMALE
Adelie,Dream,40,15,181,4141,MALE
Gentoo,Biscoe,51,18,200,5217,MALE
Adelie,Biscoe,35,20,194,3954,FEMALE
Gentoo,Dream,57,14,201,3148,MALE
Chinstrap,Torgersen,43,17,205,2831,MALE
Gentoo,Torgersen,51,21,178,3411,MALE
Gentoo,Biscoe,34,13,181,4656,MALE
Chinstrap,Dream,49,13,201,5645,FEMALE
Chinstrap,Torgersen,48,18,204,3379,MALE
Adelie,Torgersen,34,19,201,5567,MALE
Adelie,Dream,55,18,193,5602,FEMALE
Chinstrap,Biscoe,46,20,210,5622,FEMALE
Gentoo,Dream,52,17,227,5085,MALE
Chinstrap,Biscoe,47,20,191,2908,MALE
Gentoo,Torgersen,35,18,221,2885,FEMALE
Chinstrap,Biscoe,34,19,206,5521,FEMALE
Adelie,Biscoe,39,18,214,5944,FEMALE
Gentoo,Dream,42,19,218,6169,FEMALE
Chinstrap,Torgersen,40,18,172,3908,MALE
Adelie,Biscoe,40,18,226,4947,MALE
Chinstrap,Dream,59,16,195,4541,MALE
Chinstrap,Dream,47,19,183,4601,FEMALE
Chinstrap,Biscoe,39,20,220,2907,MALE
Adelie,Torgersen,59,13,227,5301,MALE
Chinstrap,Dream,47,20,205,2942,FEMALE
Adelie,Biscoe,46,20,185,3977,MALE
Gentoo,Dream,57,19,217,3422,FEMALE
Chinstrap,Dream,38,19,175,5586,MALE
Chinstrap,Biscoe,59,16,174,4942,MALE
Gentoo,Dream,56,19,206,4171,MALE
Adelie,Torgersen,50,15,177,5698,MALE
Chinstrap,Torgersen,50,18,195,4630,FEMALE
Gentoo,Dream,44,17,226,5438,MALE
Adelie,Torgersen,52,14,222,5319,MALE
Chinstrap,Dream,35,15,186,3803,MALE
Adelie,Torgersen,47,14,213,3328,FEMALE
Adelie,Dream,40,14,188,5955,FEMALE
Gentoo,Torgersen,50,18,201,3839,MALE
Adelie,Torgersen,39,16,193,4903,FEMALE
Gentoo,Dream,47,20,223,4313,FEMALE
Adelie,Biscoe,33,17,185,5476,MALE
Chinstrap,Dream,54,14,219,3541,FEMALE
Gentoo,Dream,42,20,192,4196,MALE
Gentoo,Dream,36,20,185,5911,FEMALE
Adelie,Torgersen,58,19,220,3680,MALE
Gentoo,Biscoe,50,18,196,3735,MALE
Chinstrap,Dream,51,15,177,4697,FEMALE
Gentoo,Torgersen,38,18,205,3250,MALE
Chinstrap,Biscoe,49,14,191,4395,MALE
Chinstrap,Torgersen,35,20,222,5595,MALE
Chinstrap,Dream,52,18,220,5509,FEMALE
Chinstrap,Biscoe,49,20,212,3427,MALE
Gentoo,Biscoe,55,21,186,3816,FEMALE
Adelie,Torgersen,52,20,206,5545,FEMALE
Adelie,Biscoe,49,15,213,4960,FEMALE
Adelie,Biscoe,40,15,208,3379,FEMALE
Chinstrap,Dream,42,14,203,4389,FEMALE
Gentoo,Torgersen,59,14,224,5039,FEMALE
Chinstrap,Torgersen,35,16,176,3072,MALE
Adelie,Torgersen,53,17,200,5599,MALE
Chinstrap,Biscoe,52,18,229,3190,FEMALE
Gentoo,Torgersen,37,18,226,3526,FEMALE
Chinstrap,Torgersen,39,14,219,2719,FEMALE
Gentoo,Dream,51,20,189,5810,MALE
Chinstrap,Dream,38,18,199,4383,FEMALE
Adelie,Torgersen,37,20,217,5616,FEMALE
Chinstrap,Dream,33,20,188,6124,FEMALE
Gentoo,Torgersen,56,15,188,6021,MALE
Adelie,Biscoe,46,19,198,6151,MALE
Gentoo,Dream,40,13,200,3325,FEMALE
Gentoo,Torgersen,37,13,220,3094,MALE
Gentoo,Biscoe,51,20,216,5696,MALE
Adelie,Biscoe,40,14,215,4160,MALE
Gentoo,Dream,56,15,179,4885,FEMALE
Chinstrap,Dream,56,13,211,3471,FEMALE
Adelie,Biscoe,52,18,174,6049,MALE
Gentoo,Dream,51,21,191,6228,FEMALE
Gentoo,Torgersen,44,14,175,3805,FEMALE
Adelie,Biscoe,43,17,228,4982,MALE
Gentoo,Biscoe,34,18,184,4234,MALE
Gentoo,Biscoe,36,21,223,5313,FEMALE
Adelie,Dream,48,17,179,6185,MALE
Adelie,Biscoe,33,19,228,5167,FEMALE
Adelie,Biscoe,33,18,222,6169,MALE
Adelie,Dream,54,19,175,3269,FEMALE
Chinstrap,Dream,45,16,205,6265,MALE
Gentoo,Biscoe,37,18,216,3342,MALE
Adelie,Biscoe,55,17,207,3897,FEMALE
Chinstrap,Torgersen,50,17,177,5958,MALE
Chinstrap,Biscoe,43,15,204,5632,FEMALE
Adelie,Dream,38,19,211,4751,MALE
Adelie,Dream,44,19,198,4042,MALE
Chinstrap,Dream,35,17,227,6132,MALE
Adelie,Dream,32,18,183,4157,MALE
Gentoo,Torgersen,53,14,172,3208,MALE
Adelie,Dream,42,15,173,4048,FEMALE
Adelie,Torgersen,51,19,223,4724,MALE
Adelie,Dream,55,21,217,3752,MALE
Adelie,Dream,59,17,190,4250,MALE
Chinstrap,Dream,44,16,220,3514,MALE
Gentoo,Biscoe,40,19,179,6283,FEMALE
Adelie,Dream,49,13,222,3679,MALE
Gentoo,Torgersen,54,15,224,5969,FEMALE
Gentoo,Dream,58,17,216,5725,MALE
Gentoo,Dream,41,16,212,4295,FEMALE
Gentoo,Torgersen,52,17,225,4120,MALE
Adelie,Biscoe,43,14,172,2997,FEMALE
Gentoo,Dream,37,15,179,4497,FEMALE
Chinstrap,Dream,35,19,172,4053,MALE
Gentoo,Torgersen,50,15,226,4265,FEMALE
Chinstrap,Dream,47,18,191,4602,MALE
Chinstrap,Biscoe,37,19,206,5840,FEMALE
Adelie,Torgersen,56,14,229,4758,MALE
Chinstrap,Dream,45,18,207,3459,MALE
Gentoo,Dream,54,18,226,6100,MALE
Adelie,Biscoe,32,17,175,4865,MALE
Adelie,Biscoe,54,20,218,6172,MALE
Adelie,Dream,34,17,182,3322,MALE
Gentoo,Torgersen,50,18,198,5565,FEMALE
Adelie,Biscoe,48,14,177,4608,MALE
Chinstrap,Dream,54,21,228,3388,MALE
Chinstrap,Biscoe,43,15,222,2899,MALE
Gentoo,Dream,50,21,208,5977,FEMALE
Adelie,Torgersen,52,13,209,4519,MALE
Adelie,Dream,46,15,205,3659,FEMALE
Adelie,Biscoe,53,16,200,3172,FEMALE
Chinstrap,Biscoe,49,16,181,5913,MALE
Chinstrap,Dream,42,16,180,5696,MALE
Gentoo,Dream,51,19,227,5493,FEMALE
Gentoo,Dream,38,21,180,5820,FEMALE
Adelie,Torgersen,49,19,222,3119,FEMALE
Gentoo,Dream,53,19,208,3715,FEMALE
Chinstrap,Dream,59,13,181,4425,MALE
Gentoo,Dream,53,14,213,4955,MALE
Gentoo,Biscoe,53,14,185,5993,MALE
Adelie,Dream,34,17,186,4527,FEMALE
Adelie,Dream,40,18,183,3724,FEMALE
Adelie,Torgersen,42,18,178,4393,FEMALE
Chinstrap,Torgersen,43,18,184,4825,MALE
Adelie,Biscoe,50,19,209,4011,MALE
Chinstrap,Torgersen,39,20,194,3549,MALE
Gentoo,Biscoe,49,21,173,3759,FEMALE
Adelie,Dream,42,15,180,4826,MALE
Gentoo,Biscoe,40,13,177,4266,MALE
Adelie,Dream,42,14,226,2880,FEMALE
Adelie,Biscoe,55,17,174,5897,MALE
Gentoo,Biscoe,46,15,217,4464,MALE
Adelie,Biscoe,48,18,181,5784,FEMALE
Adelie,Dream,56,17,190,6037,FEMALE
Adelie,Biscoe,49,16,172,5524,FEMALE
Chinstrap,Biscoe,45,18,192,3424,FEMALE
Adelie,Torgersen,46,19,208,4893,MALE
Gentoo,Torgersen,56,19,208,5453,FEMALE
Gentoo,Dream,54,15,198,2807,MALE
Adelie,Dream,35,16,219,3411,MALE
Chinstrap,Torgersen,35,13,202,5914,FEMALE
Adelie,Biscoe,43,17,192,5965,MALE
Adelie,Dream,51,14,224,4184,MALE
Chinstrap,Torgersen,42,16,228,3489,MALE
Gentoo,Dream,44,13,229,2897,FEMALE
Chinstrap,Biscoe,43,14,173,3138,MALE
Gentoo,Biscoe,58,17,201,3544,FEMALE
Chinstrap,Dream,58,17,226,4534,MALE
Gentoo,Torgersen,57,16,225,3952,FEMALE
Gentoo,Dream,54,16,224,3234,FEMALE
Adelie,Dream,32,13,209,3595,MALE
Adelie,Dream,59,20,219,5121,MALE
Adelie,Torgersen,39,16,182,2869,FEMALE
Chinstrap,Biscoe,59,19,185,4231,MALE
Adelie,Biscoe,52,20,213,4917,FEMALE
Gentoo,Torgersen,39,13,217,5100,MALE
Adelie,Biscoe,55,18,210,5218,MALE
Gentoo,Torgersen,46,14,208,5167,FEMALE
Gentoo,Dream,50,14,220,5171,MALE
Chinstrap,Torgersen,45,20,172,4259,MALE
Gentoo,Torgersen,33,16,214,5722,FEMALE
Gentoo,Biscoe,53,15,220,5113,MALE
Gentoo,Torgersen,36,19,202,4673,MALE
Gentoo,Biscoe,34,17,214,6087,MALE
Adelie,Biscoe,44,21,183,3895,MALE
Chinstrap,Torgersen,55,19,177,3316,MALE
Adelie,Biscoe,34,18,221,2875,MALE
Gentoo,Dream,53,14,221,4177,MALE
Adelie,Torgersen,44,15,196,4481,FEMALE
Gentoo,Torgersen,59,16,194,4401,FEMALE
Gentoo,Dream,40,17,212,5152,FEMALE
Adelie,Biscoe,45,20,213,5601,FEMALE
Adelie,Torgersen,43,21,175,6213,FEMALE
Adelie,Dream,41,13,209,4988,FEMALE
Gentoo,Biscoe,52,19,215,3450,FEMALE
Gentoo,Dream,37,17,193,6125,MALE
Gentoo,Torgersen,48,13,225,6135,MALE
Adelie,Dream,34,17,224,4738,FEMALE
Adelie,Dream,54,15,174,3736,MALE
Adelie,Biscoe,46,19,190,3638,FEMALE
Chinstrap,Biscoe,32,13,205,4748,FEMALE
Gentoo,Dream,39,13,223,4231,FEMALE
Gentoo,Dream,47,13,221,4856,FEMALE
Adelie,Biscoe,32,17,197,4025,MALE
Chinstrap,Biscoe,39,17,175,4714,FEMALE
Chinstrap,Torgersen,43,20,216,3920,FEMALE
Adelie,Torgersen,51,20,181,5144,MALE
Adelie,Biscoe,54,14,175,3893,FEMALE
Chinstrap,Biscoe,35,18,191,4745,MALE
Chinstrap,Torgersen,38,18,181,4242,FEMALE
Chinstrap,Dream,57,15,208,3683,FEMALE
Gentoo,Torgersen,51,20,201,5559,FEMALE
Adelie,Torgersen,42,17,220,5273,MALE
Chinstrap,Dream,52,17,188,3798,MALE
Gentoo,Biscoe,43,13,178,2976,FEMALE
Adelie,Dream,33,19,222,4460,FEMALE
Gentoo,Torgersen,51,21,219,4397,FEMALE
Chinstrap,Dream,58,19,208,5688,MALE
Adelie,Biscoe,34,19,188,2744,MALE
Chinstrap,Biscoe,51,20,218,6219,MALE
Chinstrap,Biscoe,33,18,173,5582,FEMALE
Chinstrap,Torgersen,56,16,229,5951,MALE
Adelie,Biscoe,55,21,175,2754,MALE
Chinstrap,Dream,33,16,214,3614,MALE
Gentoo,Torgersen,33,19,175,5906,FEMALE
Adelie,Biscoe,56,21,192,5843,FEMALE
Chinstrap,Biscoe,47,14,202,5294,MALE
Adelie,Biscoe,33,20,221,3181,MALE
Chinstrap,Biscoe,54,15,185,4281,FEMALE
Chinstrap,Biscoe,47,16,223,5448,FEMALE
Chinstrap,Dream,39,16,214,6283,FEMALE
Adelie,Torgersen,50,16,225,4311,MALE
Adelie,Biscoe,33,13,223,4741,MALE
Adelie,Torgersen,52,20,181,3608,FEMALE
Adelie,Torgersen,38,20,179,4974,FEMALE
Adelie,Biscoe,49,20,225,4408,MALE
Chinstrap,Dream,38,16,208,5418,MALE
Chinstrap,Dream,47,16,181,6097,MALE
Chinstrap,Dream,53,15,227,5358,MALE
Chinstrap,Biscoe,42,20,212,4401,MALE
Adelie,Biscoe,34,16,192,3664,FEMALE
Adelie,Dream,54,15,222,3814,MALE
Gentoo,Biscoe,40,17,180,3473,FEMALE
Chinstrap,Torgersen,45,20,215,4426,MALE
Chinstrap,Biscoe,37,14,215,4219,MALE
Gentoo,Dream,49,14,174,4814,MALE
Chinstrap,Dream,34,18,200,4196,FEMALE
Gentoo,Torgersen,38,20,211,2864,MALE
Chinstrap,Biscoe,38,15,209,6012,FEMALE
Chinstrap,Dream,51,18,177,5104,MALE
Adelie,Dream,57,14,220,5890,MALE
Chinstrap,Torgersen,49,13,222,3703,MALE
Chinstrap,Torgersen,43,16,219,5907,FEMALE
Gentoo,Dream,34,20,223,2909,FEMALE
Chinstrap,Biscoe,38,19,198,4010,FEMALE
Adelie,Dream,53,16,174,3374,MALE
Chinstrap,Biscoe,33,17,179,3635,MALE
Chinstrap,Dream,37,17,212,5857,MALE
Gentoo,Dream,52,15,185,4855,MALE
Chinstrap,Biscoe,45,17,207,3034,MALE
Gentoo,Biscoe,46,20,186,5682,MALE
Chinstrap,Biscoe,36,19,213,3981,MALE
Adelie,Dream,48,15,226,2863,MALE
Chinstrap,Biscoe,33,20,213,4570,MALE
Adelie,Dream,43,13,220,5442,FEMALE
Adelie,Torgersen,49,21,197,5300,MALE
Chinstrap,Torgersen,56,21,220,5898,MALE
Chinstrap,Torgersen,39,16,213,5443,MALE
Adelie,Dream,49,18,208,5449,MALE
Gentoo,Torgersen,42,16,221,6218,FEMALE
Gentoo,Torgersen,38,14,228,3189,MALE
Adelie,Torgersen,39,17,194,3722,MALE
Chinstrap,Biscoe,35,18,225,6248,MALE
Adelie,Dream,33,17,208,3241,MALE
Adelie,Torgersen,51,21,205,4559,MALE
Gentoo,Dream,32,21,177,5161,FEMALE
Chinstrap,Torgersen,58,17,192,5585,FEMALE
Gentoo,Dream,36,13,207,3712,MALE
Gentoo,Dream,50,16,219,4284,MALE
Adelie,Torgersen,41,15,187,4701,MALE
Adelie,Torgersen,56,18,207,3448,MALE
Gentoo,Biscoe,36,19,201,4685,MALE
Gentoo,Torgersen,34,15,182,2811,MALE
Adelie,Biscoe,50,13,178,6056,FEMALE
Adelie,Torgersen,42,15,183,2860,MALE
Adelie,Dream,57,17,217,4384,MALE
Gentoo,Dream,54,17,206,4493,MALE
Chinstrap,Biscoe,32,14,186,4011,FEMALE
Adelie,Biscoe,45,14,177,4383,MALE
Gentoo,Biscoe,49,20,204,4880,MALE
Gentoo,Dream,38,16,187,6227,MALE
Gentoo,Biscoe,36,20,213,5736,FEMALE
Chinstrap,Dream,33,19,186,3125,MALE
Adelie,Biscoe,39,14,217,6043,MALE
Adelie,Dream,48,21,211,5191,MALE
Adelie,Biscoe,55,20,219,4073,FEMALE
Chinstrap,Biscoe,51,19,176,3814,MALE
Adelie,Torgersen,34,19,217,5050,FEMALE
Gentoo,Biscoe,56,15,208,5144,FEMALE
Chinstrap,Dream,39,16,191,3698,FEMALE
Chinstrap,Torgersen,59,21,207,5333,MALE
Adelie,Torgersen,33,16,195,6000,MALE
Gentoo,Torgersen,33,16,194,3198,FEMALE
Adelie,Biscoe,55,15,216,4239,FEMALE
Adelie,Dream,45,21,228,2978,MALE
Chinstrap,Dream,39,14,192,4522,MALE
Adelie,Dream,56,19,208,5186,MALE
Chinstrap,Dream,36,20,200,4167,MALE
Adelie,Torgersen,40,19,224,6116,MALE
Chinstrap,Dream,54,19,212,5381,FEMALE
Adelie,Biscoe,32,14,178,5594,MALE
Adelie,Biscoe,46,17,228,4235,FEMALE
Adelie,Dream,51,13,214,3269,MALE
Adelie,Torgersen,38,14,201,4182,MALE
Chinstrap,Dream,36,16,206,4802,MALE
Chinstrap,Torgersen,54,19,224,5605,MALE
Adelie,Torgersen,50,15,193,3974,MALE
Gentoo,Torgersen,53,20,187,6265,MALE
Gentoo,Biscoe,52,19,172,4946,FEMALE
Adelie,Biscoe,58,15,184,4017,MALE
Gentoo,Torgersen,36,17,214,2983,FEMALE
Chinstrap,Biscoe,50,20,227,5563,FEMALE
Gentoo,Torgersen,50,15,185,2846,FEMALE
Adelie,Biscoe,51,13,197,3823,FEMALE
Adelie,Dream,38,13,189,3786,FEMALE
Gentoo,Biscoe,51,14,213,3952,MALE
Gentoo,Biscoe,42,19,218,4464,FEMALE
Chinstrap,Biscoe,42,14,195,5262,MALE
Gentoo,Biscoe,40,14,218,5718,FEMALE
Gentoo,Dream,51,13,210,4815,MALE
Gentoo,Biscoe,33,16,180,4580,MALE
Gentoo,Dream,38,17,218,5588,MALE
Chinstrap,Biscoe,48,17,173,5674,FEMALE
Gentoo,Dream,34,14,228,4035,FEMALE
Gentoo,Biscoe,37,19,191,3637,FEMALE
Gentoo,Dream,59,19,192,2831,FEMALE
Chinstrap,Torgersen,59,15,200,3161,MALE
Adelie,Dream,38,13,218,3897,MALE
Gentoo,Torgersen,32,20,208,6101,FEMALE
Gentoo,Dream,38,15,193,4002,MALE
Chinstrap,Torgersen,41,14,196,4106,MALE
Adelie,Biscoe,52,19,184,5342,MALE
Chinstrap,Biscoe,38,20,184,6069,FEMALE
Adelie,Dream,39,14,195,6183,FEMALE
Gentoo,Torgersen,57,14,195,5132,FEMALE
Adelie,Biscoe,49,17,223,4184,FEMALE
Chinstrap,Dream,51,21,218,3840,MALE
Adelie,Dream,35,16,202,4357,FEMALE
Gentoo,Torgersen,33,20,192,5796,MALE
Adelie,Biscoe,47,14,199,5590,MALE
Gentoo,Biscoe,49,14,199,4212,MALE
Chinstrap,Torgersen,36,20,191,4392,FEMALE
Adelie,Torgersen,41,18,193,4014,MALE
Gentoo,Dream,54,17,191,5898,MALE
